city,cell_id,metric,benchmark_count,human_miles,waymo_miles
LOS_ANGELES,9278157763509223424,airbag,8.0,15792269.479211029,3554.0686435522975
LOS_ANGELES,9278159137898758144,airbag,4.0,27792969.33098808,3114.071081001338
LOS_ANGELES,9278159172258496512,airbag,0.0,8259717.172426751,0.06223591475232433
LOS_ANGELES,9278159206618234880,airbag,6.0,10357629.800613277,7084.111169004135
LOS_ANGELES,9278159240977973248,airbag,5.0,7464655.017376406,3555.886612082246
LOS_ANGELES,9278159275337711616,airbag,12.0,11324322.745925948,28159.744929353164
LOS_ANGELES,9278159309697449984,airbag,1.0,13274764.524209158,22344.744044716463
LOS_ANGELES,9278159344057188352,airbag,5.0,33065398.799584314,16318.063732230534
LOS_ANGELES,9278159378416926720,airbag,20.923667153284672,29671499.360535305,56927.49287991397
LOS_ANGELES,9278159412776665088,airbag,75.84733430656934,39927383.02695127,36213.612879929555
LOS_ANGELES,9278159790733787136,airbag,8.0,4560353.764220921,5492.7899336679
LOS_ANGELES,9278172194599337984,airbag,0.0,2443550.8532125647,1929.3206492798747
LOS_ANGELES,9278172228959076352,airbag,0.0,1247581.9710565577,788.9007396520989
LOS_ANGELES,9278172263318814720,airbag,5.0,28319772.749182645,6559.326014942575
LOS_ANGELES,9278172297678553088,airbag,0.0,13254730.195495386,703.5010014521027
LOS_ANGELES,9278172332038291456,airbag,4.0,17827483.04744671,3068.6587746587543
LOS_ANGELES,9278172366398029824,airbag,2.0,6259657.24800152,4842.219078663765
LOS_ANGELES,9278172400757768192,airbag,6.0,12991225.106670395,13175.170684758681
LOS_ANGELES,9278172435117506560,airbag,4.0,19576413.252362795,25325.17621040068
LOS_ANGELES,9278172469477244928,airbag,1.0,15312063.594528256,4104.509997007088
LOS_ANGELES,9278172538196721664,airbag,0.0,12885761.615382373,3653.0226453578034
LOS_ANGELES,9278172572556460032,airbag,3.0,28659782.441410188,6272.566555161513
LOS_ANGELES,9278172606916198400,airbag,7.0,31052654.683671113,124.48210996424511
LOS_ANGELES,9278172709995413504,airbag,6.0,20775655.640957627,1564.4485929929765
LOS_ANGELES,9278178585510674432,airbag,25.923667153284672,14280811.633272689,4.783449164028181
LOS_ANGELES,9278178619870412800,airbag,22.0,20339732.92277274,6.149180854532402
LOS_ANGELES,9278178654230151168,airbag,42.0,17277373.74416092,13.821698292428866
LOS_ANGELES,9278178688589889536,airbag,42.0,15968789.735214802,18.530485570008924
LOS_ANGELES,9278179135266488320,airbag,12.0,12980717.68297934,2.750364358445602
LOS_ANGELES,9278179238345703424,airbag,21.0,22298096.638434313,920.2904361014779
LOS_ANGELES,9278179272705441792,airbag,20.923667153284672,8235864.033777005,25372.40075000087
LOS_ANGELES,9278179307065180160,airbag,31.0,11223895.291945247,6944.456894111531
LOS_ANGELES,9278179341424918528,airbag,39.92366715328467,16473019.919521311,5414.033660119643
LOS_ANGELES,9278179375784656896,airbag,24.0,14707396.111490078,1910.7980797556934
LOS_ANGELES,9278179410144395264,airbag,66.84733430656934,30238904.427443333,483.39663537218235
LOS_ANGELES,9278179478863872000,airbag,23.0,8610471.303995924,0.3098160690113669
LOS_ANGELES,9278179513223610368,airbag,29.923667153284672,22728675.115193263,21720.521648390655
LOS_ANGELES,9278179547583348736,airbag,26.0,26375163.69201829,16762.244245538142
LOS_ANGELES,9278179581943087104,airbag,5.0,17643708.21761369,4708.388716325096
LOS_ANGELES,9278179616302825472,airbag,4.0,17729207.53667208,1944.4794791756035
LOS_ANGELES,9278179650662563840,airbag,24.0,17284471.682681095,19090.599111518426
LOS_ANGELES,9278179685022302208,airbag,22.0,27142941.763586074,20684.369043872437
LOS_ANGELES,9278179719382040576,airbag,4.0,12017178.915086808,17156.197182068918
LOS_ANGELES,9278179753741778944,airbag,6.0,20227196.79926225,1679.7807410573093
LOS_ANGELES,9278179856820994048,airbag,19.0,19775501.88745534,0.37411678357503747
LOS_ANGELES,9278180509656023040,airbag,17.923667153284672,33776315.66891059,3008.2344110576187
LOS_ANGELES,9278180544015761408,airbag,12.923667153284672,36084739.18852524,14042.325193841032
LOS_ANGELES,9278180578375499776,airbag,2.0,13899611.4885475,8368.384017221557
LOS_ANGELES,9278180612735238144,airbag,8.847334306569344,25304818.96696029,510.07176160751874
