year,mode,manufacturer,vin,miles,reported_events
2020,safety-driver,Cruise,5G21A6P00L4100023,1443.73,0
2020,safety-driver,Cruise,5G21A6P00L4100037,8185.94,0
2020,safety-driver,Cruise,5G21A6P00L4100040,8774.24,1
2020,safety-driver,Cruise,5G21A6P00L4100054,10.63,0
2020,safety-driver,Cruise,5G21A6P00L4100068,9227.54,0
2020,safety-driver,Cruise,5G21A6P00L4100071,7468.27,0
2020,safety-driver,Cruise,5G21A6P00L4100085,9681.69,1
2020,safety-driver,Cruise,5G21A6P00L4100104,8874.49,0
2020,safety-driver,Cruise,5G21A6P00L4100118,10544.61,1
2020,safety-driver,Cruise,5G21A6P00L4100121,10295.96,0
2020,safety-driver,Cruise,5G21A6P00L4100135,271.93,0
2020,safety-driver,Cruise,5G21A6P00L4100166,12092.77,0
2020,safety-driver,Cruise,5G21A6P00L4100183,336.58,0
2020,safety-driver,Cruise,5G21A6P01L4100015,2925.05,0
2020,safety-driver,Cruise,5G21A6P01L4100029,8420.05,1
2020,safety-driver,Cruise,5G21A6P01L4100032,7525.95,0
2020,safety-driver,Cruise,5G21A6P01L4100046,9431.1,1
2020,safety-driver,Cruise,5G21A6P01L4100063,1185.17,0
2020,safety-driver,Cruise,5G21A6P01L4100077,1561.88,0
2020,safety-driver,Cruise,5G21A6P01L4100127,11263.45,0
2020,safety-driver,Cruise,5G21A6P01L4100130,3355.83,0
2020,safety-driver,Cruise,5G21A6P01L4100161,20.21,0
2020,safety-driver,Cruise,5G21A6P01L4100175,4148.73,2
2020,safety-driver,Cruise,5G21A6P01L4100189,10061.49,0
2020,safety-driver,Cruise,5G21A6P01L4100192,8616.41,0
2020,safety-driver,Cruise,5G21A6P02L4100010,9202.6,1
2020,safety-driver,Cruise,5G21A6P02L4100041,7267.58,0
2020,safety-driver,Cruise,5G21A6P02L4100069,8745.22,0
2020,safety-driver,Cruise,5G21A6P02L4100072,8940.39,0
2020,safety-driver,Cruise,5G21A6P02L4100086,7874.24,0
2020,safety-driver,Cruise,5G21A6P02L4100119,9697.45,1
2020,safety-driver,Cruise,5G21A6P02L4100122,11908.98,0
2020,safety-driver,Cruise,5G21A6P02L4100136,8808.91,0
2020,safety-driver,Cruise,5G21A6P02L4100167,8808.79,0
2020,safety-driver,Cruise,5G21A6P02L4100170,4479.74,0
2020,safety-driver,Cruise,5G21A6P02L4100184,10490.08,0
2020,safety-driver,Cruise,5G21A6P02L4110407,1134.98,0
2020,safety-driver,Cruise,5G21A6P03L4100016,5335.17,1
2020,safety-driver,Cruise,5G21A6P03L4100033,6370.89,0
2020,safety-driver,Cruise,5G21A6P03L4100047,10220.34,0
2020,safety-driver,Cruise,5G21A6P03L4100050,3326.93,0
2020,safety-driver,Cruise,5G21A6P03L4100078,2801.11,0
2020,safety-driver,Cruise,5G21A6P03L4100128,447.17,0
2020,safety-driver,Cruise,5G21A6P03L4100131,9015.52,0
2020,safety-driver,Cruise,5G21A6P03L4100159,9381.23,0
2020,safety-driver,Cruise,5G21A6P03L4100162,1674.62,0
2020,safety-driver,Cruise,5G21A6P03L4100176,7454.14,0
2020,safety-driver,Cruise,5G21A6P03L4100193,10034.08,0
2020,safety-driver,Cruise,5G21A6P04L4100008,1029.35,0
2020,safety-driver,Cruise,5G21A6P04L4100011,111.2,0
2020,safety-driver,Cruise,5G21A6P04L4100025,176.21,0
2020,safety-driver,Cruise,5G21A6P04L4100039,14.57,0
2020,safety-driver,Cruise,5G21A6P04L4100042,2372.58,0
2020,safety-driver,Cruise,5G21A6P04L4100073,7292.13,1
2020,safety-driver,Cruise,5G21A6P04L4100087,8471.36,1
2020,safety-driver,Cruise,5G21A6P04L4100123,1317.94,0
2020,safety-driver,Cruise,5G21A6P04L4100140,2990.1,0
2020,safety-driver,Cruise,5G21A6P04L4100168,7286.82,0
2020,safety-driver,Cruise,5G21A6P04L4100171,8307.75,1
2020,safety-driver,Cruise,5G21A6P04L4100185,8515.26,0
2020,safety-driver,Cruise,5G21A6P04L4110408,3545.38,0
2020,safety-driver,Cruise,5G21A6P05L4100003,1167.06,0
2020,safety-driver,Cruise,5G21A6P05L4100017,5795.34,0
2020,safety-driver,Cruise,5G21A6P05L4100020,196.97,0
2020,safety-driver,Cruise,5G21A6P05L4100048,6180.24,0
2020,safety-driver,Cruise,5G21A6P05L4100051,5.5,0
2020,safety-driver,Cruise,5G21A6P05L4100065,775.04,0
2020,safety-driver,Cruise,5G21A6P05L4100082,3848.24,0
2020,safety-driver,Cruise,5G21A6P05L4100115,8830.69,0
2020,safety-driver,Cruise,5G21A6P05L4100129,10332.35,0
2020,safety-driver,Cruise,5G21A6P05L4100132,3245.22,0
2020,safety-driver,Cruise,5G21A6P05L4100163,1274.23,0
2020,safety-driver,Cruise,5G21A6P05L4100177,8435.3,0
2020,safety-driver,Cruise,5G21A6P05L4100180,10501.95,1
2020,safety-driver,Cruise,5G21A6P06L4100012,21.77,0
2020,safety-driver,Cruise,5G21A6P06L4100026,5034.96,0
2020,safety-driver,Cruise,5G21A6P06L4100043,8477.19,0
