year,mode,manufacturer,date,date_in_period,vin,driverless_capable,driver_present,initiated_by,location,cause_text,cause_category
2020,safety-driver,Apple,2020-01-29T00:00:00,True,2T2BGMCA3GC007861,False,True,AV System,Street,Sensor data mismatch caused software kickout,Perception
2020,safety-driver,Apple,2020-01-29T00:00:00,True,2T2BGMCA3GC007861,False,True,AV System,Street,Sensor data mismatch caused software kickout,Perception
2020,safety-driver,Apple,2020-01-29T00:00:00,True,2T2BGMCA3GC007861,False,True,AV System,Street,Sensor data mismatch caused software kickout,Perception
2020,safety-driver,Apple,2020-01-29T00:00:00,True,2T2BGMCA7GC007068,False,True,Test Driver,Street,Incorrect prediction lead to undesirable motion plan,Planning
2020,safety-driver,Apple,2020-01-29T00:00:00,True,2T2BGMCA9GC007394,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-01-30T00:00:00,True,2T2BGMCA0HC014753,False,True,Test Driver,Street,Incorrect perception of traffic signal lead to undesirable motion plan,Perception
2020,safety-driver,Apple,2020-01-30T00:00:00,True,2T2BGMCA3GC007861,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-01-30T00:00:00,True,2T2BGMCA3GC007861,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-01-30T00:00:00,True,2T2BGMCA3GC007861,False,True,AV System,Highway,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-01-30T00:00:00,True,2T2BGMCA3GC007861,False,True,AV System,Highway,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-01-30T00:00:00,True,2T2BGMCA3GC007861,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-01-30T00:00:00,True,2T2BGMCA3GC007861,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-01-30T00:00:00,True,2T2BGMCA3GC007861,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-01-30T00:00:00,True,2T2BGMCA3GC007861,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-01-31T00:00:00,True,2T2BGMCA3HC020062,False,True,Test Driver,Street,Incorrect prediction lead to undesirable motion plan ,Planning
2020,safety-driver,Apple,2020-01-31T00:00:00,True,2T2BGMCA5HC014389,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-01-31T00:00:00,True,2T2BGMCA9GC007394,False,True,Test Driver,Street,Incorrect prediction of vehicle caused undesirable motion plan,Planning
2020,safety-driver,Apple,2020-02-04T00:00:00,True,2T2BGMCA1HC014096,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-02-06T00:00:00,True,2T2BGMCA1HC014096,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-02-10T00:00:00,True,2T2BGMCA1HC014096,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-02-10T00:00:00,True,2T2BGMCA2HC019338,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-02-10T00:00:00,True,2T2BGMCA2HC019338,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-02-11T00:00:00,True,2T2BGMCA0HC019225,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-02-11T00:00:00,True,2T2BGMCA2HC019338,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-02-12T00:00:00,True,2T2BGMCA1GC008135,False,True,Test Driver,Street,Incorrect prediction lead to undesirable motion plan ,Planning
2020,safety-driver,Apple,2020-02-12T00:00:00,True,2T2BGMCA5HC014389,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-02-12T00:00:00,True,2T2BGMCA5HC014389,False,True,Test Driver,Street,Incorrect prediction lead to undesirable motion plan ,Planning
2020,safety-driver,Apple,2020-02-12T00:00:00,True,2T2BGMCA6HC016667,False,True,AV System,Street,Incorrect prediction lead to undesirable motion plan,Planning
2020,safety-driver,Apple,2020-02-12T00:00:00,True,2T2BGMCA7HC014877,False,True,Test Driver,Street,Sensor/Perception discrepancy resulted in  incorrect predictions for motion planning,Perception
2020,safety-driver,Apple,2020-02-12T00:00:00,True,2T2BGMCA7HC014877,False,True,Test Driver,Street,Incorrect prediction lead to undesirable motion plan,Planning
2020,safety-driver,Apple,2020-02-14T00:00:00,True,2T2BGMCA2HC012521,False,True,Test Driver,Street,Undesireable motion plan violating traffic signal ,Unknown
2020,safety-driver,Apple,2020-02-17T00:00:00,True,2T2BGMCA7HC014877,False,True,Test Driver,Street,Motion plan exceeded speed limit ,Unknown
2020,safety-driver,Apple,2020-02-18T00:00:00,True,2T2BGMCA0HC019967,False,True,AV System,Street,Hardware diagnostic detected hardware health issue,Perception
2020,safety-driver,Apple,2020-02-18T00:00:00,True,2T2BGMCA1HC014096,False,True,Test Driver,Street,Hardware diagnostic caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-02-19T00:00:00,True,2T2BGMCA0HC014753,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-02-20T00:00:00,True,2T2BGMCA0HC014753,False,True,Test Driver,Street,Incorrect prediction lead to undesirable motion plan ,Planning
2020,safety-driver,Apple,2020-02-21T00:00:00,True,2T2BGMCA0HC014753,False,True,Test Driver,Street,Undesireable motion plan violating traffic signal ,Unknown
2020,safety-driver,Apple,2020-02-24T00:00:00,True,2T2BGMCA0HC019225,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-02-24T00:00:00,True,2T2BGMCA5HC014389,False,True,Test Driver,Street,Incorrect prediction lead to undesirable motion plan,Planning
